iter	Passed	Remaining
447	1107	1364
448	1109	1361
449	1110	1357
450	1113	1355
451	1115	1352
452	1117	1349
453	1118	1345
454	1120	1342
455	1122	1338
456	1123	1335
457	1125	1331
458	1127	1329
459	1129	1326
460	1131	1322
461	1132	1319
462	1134	1316
463	1136	1312
464	1137	1309
465	1139	1305
466	1141	1302
467	1143	1300
468	1145	1296
469	1147	1293
470	1148	1290
471	1150	1287
472	1152	1283
473	1153	1280
474	1155	1277
475	1159	1276
476	1161	1273
477	1163	1270
478	1164	1267
479	1166	1264
480	1168	1260
481	1170	1257
482	1174	1257
483	1176	1254
484	1178	1251
485	1180	1247
486	1181	1244
487	1183	1241
488	1185	1238
489	1189	1237
490	1191	1234
491	1192	1231
492	1194	1228
493	1196	1225
494	1198	1222
495	1200	1219
496	1204	1219
497	1206	1216
498	1208	1213
499	1210	1210
500	1212	1207
501	1216	1206
502	1220	1205
503	1222	1202
504	1223	1199
505	1226	1197
506	1229	1195
507	1234	1196
508	1236	1193
509	1239	1190
510	1240	1187
511	1246	1188
512	1250	1187
513	1252	1184
514	1254	1181
515	1256	1178
516	1259	1176
517	1262	1175
518	1266	1173
519	1268	1171
520	1270	1168
521	1273	1165
522	1277	1165
523	1280	1163
524	1282	1160
525	1285	1158
526	1288	1156
527	1290	1153
528	1291	1150
529	1293	1147
530	1295	1143
531	1296	1140
532	1298	1137
533	1300	1135
534	1304	1133
535	1305	1130
536	1307	1127
537	1309	1124
538	1311	1121
539	1312	1118
540	1315	1116
541	1318	1114
542	1320	1111
543	1322	1108
544	1323	1105
545	1325	1102
546	1327	1099
547	1330	1097
548	1332	1094
549	1334	1091
550	1336	1088
551	1337	1085
552	1339	1082
553	1341	1079
554	1342	1076
555	1346	1074
556	1348	1072
557	1350	1069
558	1351	1066
559	1353	1063
560	1354	1059
561	1355	1056
562	1357	1053
563	1361	1052
564	1363	1049
565	1365	1046
566	1366	1043
567	1368	1040
568	1369	1037
569	1371	1034
570	1372	1031
571	1373	1028
572	1376	1025
573	1378	1022
574	1380	1020
575	1381	1016
576	1383	1013
577	1384	1010
578	1386	1007
579	1387	1004
580	1390	1002
581	1392	1000
582	1394	997
583	1395	994
584	1397	991
585	1398	988
586	1399	984
587	1401	981
588	1402	978
589	1404	976
590	1407	973
591	1409	971
592	1410	968
593	1411	964
594	1413	961
595	1414	958
596	1416	955
597	1417	952
598	1421	951
599	1423	948
600	1424	945
601	1426	942
602	1427	939
603	1428	936
604	1430	933
605	1431	930
606	1433	927
607	1435	925
608	1437	922
609	1438	919
610	1440	916
611	1441	914
612	1443	911
613	1444	908
614	1446	905
615	1447	902
616	1449	899
617	1451	896
618	1453	894
619	1454	891
620	1456	888
621	1457	885
622	1459	883
623	1460	880
624	1462	877
625	1463	874
626	1466	872
627	1468	869
628	1470	867
629	1471	864
630	1473	861
631	1474	858
632	1476	855
633	1477	853
634	1482	852
635	1484	849
636	1485	846
637	1487	843
638	1489	841
639	1490	838
640	1492	835
641	1493	833
642	1495	830
643	1498	828
644	1499	825
645	1501	822
646	1502	819
647	1504	817
648	1506	814
649	1509	812
650	1512	810
651	1514	808
652	1516	806
653	1518	803
654	1521	801
655	1523	798
656	1525	796
657	1528	794
658	1532	792
659	1533	790
660	1535	787
661	1537	784
662	1539	782
663	1543	780
664	1546	778
665	1548	776
666	1551	774
667	1553	771
668	1558	771
669	1561	769
670	1563	766
671	1566	764
672	1574	765
673	1576	762
674	1578	760
675	1580	757
676	1581	754
677	1583	752
678	1585	749
679	1587	746
680	1589	744
681	1591	742
682	1593	739
683	1598	738
684	1600	735
685	1605	734
686	1607	732
687	1611	730
688	1613	728
689	1617	726
690	1623	726
691	1626	723
692	1629	721
693	1633	720
694	1635	717
695	1636	714
696	1638	712
697	1639	709
698	1641	706
699	1643	704
700	1644	701
701	1646	698
702	1648	696
703	1650	693
704	1651	691
705	1653	688
706	1655	686
707	1657	683
708	1660	681
709	1663	679
710	1665	677
711	1668	674
712	1670	672
713	1672	669
714	1673	667
715	1675	664
716	1679	662
717	1681	660
718	1683	658
719	1685	655
720	1687	653
721	1689	650
722	1690	647
723	1692	645
724	1696	643
725	1698	641
726	1700	638
727	1702	635
728	1704	633
729	1705	630
730	1708	628
731	1710	626
732	1712	623
733	1714	621
734	1715	618
735	1719	616
736	1721	614
737	1724	612
738	1726	609
739	1728	607
740	1731	605
741	1737	604
742	1738	601
743	1740	598
744	1742	596
745	1744	593
746	1747	591
747	1750	589
748	1754	587
749	1756	585
750	1757	582
751	1759	580
752	1761	577
753	1764	575
754	1767	573
755	1769	571
756	1772	568
757	1774	566
758	1784	566
759	1787	564
760	1789	561
761	1791	559
762	1793	557
763	1801	556
764	1803	554
765	1807	552
766	1808	549
767	1812	547
768	1815	545
769	1816	542
770	1818	540
771	1820	537
772	1822	535
773	1824	532
774	1827	530
775	1830	528
776	1832	525
777	1834	523
778	1838	521
779	1843	519
780	1846	517
781	1848	515
782	1850	512
783	1852	510
784	1854	508
785	1857	505
786	1860	503
787	1862	501
788	1865	498
789	1869	496
790	1875	495
791	1877	492
792	1879	490
793	1881	488
794	1883	485
795	1885	483
796	1890	481
797	1892	478
798	1894	476
799	1897	474
800	1902	472
801	1905	470
802	1907	468
803	1909	465
804	1911	462
805	1913	460
806	1919	459
807	1921	456
808	1923	454
809	1926	451
810	1929	449
811	1934	447
812	1936	445
813	1938	442
814	1940	440
815	1942	437
816	1943	435
817	1948	433
818	1951	431
819	1953	428
820	1954	426
821	1956	423
822	1958	421
823	1967	420
824	1969	417
825	1971	415
826	1974	412
827	1975	410
828	1979	408
829	1982	406
830	1986	403
831	1989	401
832	1991	399
833	1997	397
834	2000	395
835	2002	392
836	2005	390
837	2010	388
838	2012	386
839	2014	383
840	2016	381
841	2018	378
842	2020	376
843	2021	373
844	2023	371
845	2026	368
846	2028	366
847	2031	364
848	2033	361
849	2035	359
850	2038	356
851	2041	354
852	2044	352
853	2046	349
854	2048	347
855	2050	344
856	2053	342
857	2056	340
858	2059	338
859	2061	335
860	2065	333
861	2068	331
862	2074	329
863	2076	326
864	2078	324
865	2080	321
866	2088	320
867	2090	317
868	2093	315
869	2095	313
870	2097	310
871	2103	308
872	2106	306
873	2107	303
874	2109	301
875	2111	298
876	2113	296
877	2119	294
878	2123	292
879	2125	289
880	2127	287
881	2129	284
882	2134	282
883	2136	280
884	2137	277
885	2139	275
886	2142	272
887	2144	270
888	2149	268
889	2154	266
890	2157	263
891	2159	261
892	2161	259
893	2164	256
894	2166	254
895	2168	251
896	2171	249
897	2173	246
898	2175	244
899	2177	241
900	2180	239
901	2182	237
902	2184	234
903	2187	232
904	2189	229
905	2192	227
906	2196	225
907	2198	222
908	2200	220
909	2202	217
910	2204	215
911	2205	212
912	2209	210
913	2211	208
914	2213	205
915	2217	203
916	2222	201
917	2226	198
918	2230	196
